rfq_id,target_package,record_type,evidence_level,ground_truth_configuration_id,source_canonical_configuration_id,mandatory_requirement_count,preferred_requirement_count,package_configuration_rows,package_unique_configuration_ids,mandatory_valid_configuration_count,mandatory_preferred_valid_configuration_count,alternative_count_bucket,ground_truth_mandatory_valid,ground_truth_mandatory_preferred_valid,top1_configuration_id,top1_rank,exact_ground_truth_rank,top1_exact_match,top1_mandatory_valid,top1_mandatory_preferred_valid,first_mandatory_equivalent_rank,first_mandatory_preferred_equivalent_rank,top1_difference_count,top1_differing_characteristics,failure_category
RFQ731-000011,G731ST-HT,OBSERVED,OBSERVED,CFG731_cd71ec2726e971ef,CFG731_cd71ec2726e971ef,13,1,595,151,4,4,2-5,True,True,CFG731_ef8d68b6d278bfec,1,4.0,False,True,True,1,1,1.0,temperaturEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000012,x731,DERIVED,MODERATE,CFG731_6e27958dc8215006,CFG731_da02526d254e2e35,11,5,2913,1549,4,1,2-5,True,True,CFG731_6e27958dc8215006,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000013,x731,DERIVED,MODERATE,CFG731_6526112621a9ee97,CFG731_e80085d86d0bbfa9,10,5,2913,1549,15,3,11-50,True,True,CFG731_6526112621a9ee97,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000014,x731,DERIVED,VERY_STRONG,CFG731_5c624ef6fa2b6510,CFG731_775c3458f44938c0,9,6,2913,1549,22,4,11-50,True,True,CFG731_5c624ef6fa2b6510,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000015,x731,OBSERVED,OBSERVED,CFG731_5d255cf6dd296018,CFG731_5d255cf6dd296018,9,6,2913,1549,89,2,51-100,True,True,CFG731_5d255cf6dd296018,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000016,x731,DERIVED,VERY_STRONG,CFG731_ef02695e374fc418,CFG731_afd2371086bf1e03,10,4,2913,1549,46,5,11-50,True,True,CFG731_c39096767a7ae083,1,2.0,False,True,True,1,1,3.0,stromSchaltbar|temperaturEingaenge|dev_advMeterVerification,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000017,F731WD_DualChannel,DERIVED,VERY_STRONG,CFG731_c37386a371e13fa8,CFG731_d2034bb5aa313dac,10,2,121,19,2,2,2-5,True,True,CFG731_c37386a371e13fa8,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000018,F731TE,OBSERVED,OBSERVED,CFG731_fd6959ad3c5fd9ed,CFG731_fd6959ad3c5fd9ed,9,2,218,30,4,2,2-5,True,True,CFG731_fd6959ad3c5fd9ed,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000019,x731,DERIVED,LOW,CFG731_6ba028da3bba9c41,CFG731_935bc110c01e9e85,11,2,2913,1549,30,7,11-50,True,True,CFG731_cf0392d0aaac28b1,1,2.0,False,True,True,1,1,1.0,dev_advMeterVerification,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000020,x731,DERIVED,MODERATE,CFG731_48772fd385d8dcd5,CFG731_8d2d91c46ccfb471,10,5,2913,1549,17,2,11-50,True,True,CFG731_8d2d91c46ccfb471,1,2.0,False,True,True,1,1,2.0,dev_advMeterVerification|customUserFluid,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000021,G731ST-HT,OBSERVED,OBSERVED,CFG731_5dd35c89836ec88e,CFG731_5dd35c89836ec88e,13,2,595,151,4,2,2-5,True,True,CFG731_fcc72e9951376cf3,1,2.0,False,True,True,1,1,1.0,stromEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000022,G731ST-LT,OBSERVED,OBSERVED,CFG731_a40ab19ad6671fbe,CFG731_a40ab19ad6671fbe,11,5,595,153,4,1,2-5,True,True,CFG731_a40ab19ad6671fbe,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000023,x731,DERIVED,VERY_STRONG,CFG731_9ccdadb28a07accd,CFG731_14299a2a74e42d7f,12,2,2913,1549,9,6,6-10,True,True,CFG731_5ea309f998205da7,1,6.0,False,True,True,1,1,2.0,dev_advMeterVerification|customUserFluid,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000024,G731ST-LT,OBSERVED,OBSERVED,CFG731_1d89d7fdc7355744,CFG731_1d89d7fdc7355744,9,6,595,153,20,2,11-50,True,True,CFG731_1d89d7fdc7355744,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000025,G731ST-HT,DERIVED,VERY_STRONG,CFG731_a4416ae9d698efa6,CFG731_a288340143e53b7f,12,2,595,151,11,4,11-50,True,True,CFG731_a4416ae9d698efa6,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000026,x731,DERIVED,VERY_STRONG,CFG731_1b365e0951e7dea4,CFG731_e24b476e4eb9ee5d,12,3,2913,1549,8,4,6-10,True,True,CFG731_1b365e0951e7dea4,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000027,x731,DERIVED,VERY_STRONG,CFG731_59f86789e43d86f1,CFG731_9f9a8730b26472c2,10,6,2913,1549,11,1,11-50,True,True,CFG731_59f86789e43d86f1,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000028,G731ST-HT,OBSERVED,OBSERVED,CFG731_8b18ac1c34209d63,CFG731_8b18ac1c34209d63,14,2,595,151,1,1,1,True,True,CFG731_8b18ac1c34209d63,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000029,x731,DERIVED,VERY_STRONG,CFG731_ff3460f478ef969b,CFG731_181ea7d5a9c21b8c,9,7,2913,1549,51,2,51-100,True,True,CFG731_8d2d91c46ccfb471,1,2.0,False,True,True,1,1,1.0,stromSchaltbar,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000030,G731ST-HT,DERIVED,VERY_STRONG,CFG731_c759934398f2381a,CFG731_a288340143e53b7f,10,4,595,151,24,6,11-50,True,True,CFG731_eb70dc35972dc4b7,1,2.0,False,True,True,1,1,1.0,binaerDigitalOpenColl_MN,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000031,x731,DERIVED,MODERATE,CFG731_b7fc2f4bee7659de,CFG731_c7c53fc5541f1dc1,10,4,2913,1549,10,4,6-10,True,True,CFG731_5f9d5671c315ce06,1,4.0,False,True,True,1,1,1.0,temperaturEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000032,x731,DERIVED,LOW,CFG731_dc2dca106a6c63c6,CFG731_f1614000023c2800,10,3,2913,1549,30,10,11-50,True,True,CFG731_dc2dca106a6c63c6,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000033,G731CA,DERIVED,VERY_STRONG,CFG731_faff6da73df00950,CFG731_b97ce0f180acf155,10,4,291,48,6,1,6-10,True,True,CFG731_faff6da73df00950,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000034,G731CA,DERIVED,VERY_STRONG,CFG731_9cc92f888af32c8a,CFG731_d3d0547b464f691d,10,2,291,48,4,2,2-5,True,True,CFG731_5bfe9492c76587ec,1,2.0,False,True,True,1,1,2.0,stromSchaltbar|binaerDigitalOpenColl_MN,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000035,G731ST-LT,DERIVED,VERY_STRONG,CFG731_77fac91021549398,CFG731_a2a709ad804cc5a2,11,2,595,153,22,10,11-50,True,True,CFG731_87d8ba5b87cf0a3f,1,3.0,False,True,True,1,1,2.0,temperaturEingaenge|binaerDigitalOpenColl_MN,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000036,G731ST-HT,DERIVED,MODERATE,CFG731_b46f92852addf866,CFG731_a288340143e53b7f,10,4,595,151,12,6,11-50,True,True,CFG731_7c70763d4cf79560,1,3.0,False,True,True,1,1,1.0,stromEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000037,x731,OBSERVED,OBSERVED,CFG731_1b5b895b5e259903,CFG731_1b5b895b5e259903,11,3,2913,1549,3,1,2-5,True,True,CFG731_1b5b895b5e259903,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000038,x731,DERIVED,MODERATE,CFG731_04d60387371e1885,CFG731_7f60255816247683,12,4,2913,1549,9,2,6-10,True,True,CFG731_04d60387371e1885,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000039,F731WD_DualChannel,OBSERVED,OBSERVED,CFG731_a4610f5f38e7d946,CFG731_a4610f5f38e7d946,12,1,121,19,1,1,1,True,True,CFG731_a4610f5f38e7d946,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000040,x731,OBSERVED,OBSERVED,CFG731_f7f0034a8b15f329,CFG731_f7f0034a8b15f329,11,3,2913,1549,2,1,2-5,True,True,CFG731_f7f0034a8b15f329,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000041,G731ST-HT,DERIVED,MODERATE,CFG731_d71a39e1fcf17083,CFG731_c3a136a8630f644d,12,2,595,151,6,6,6-10,True,True,CFG731_1a1206cc52132df1,1,4.0,False,True,True,1,1,1.0,stromSchaltbar,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000042,x731,DERIVED,VERY_STRONG,CFG731_8e5ce09a779d2284,CFG731_9d03b3ff10a7b30e,8,6,2913,1549,51,6,51-100,True,True,CFG731_91e51485b56960b2,1,2.0,False,True,True,1,1,3.0,stromSchaltbar|stromEingaenge|temperaturEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000043,x731,DERIVED,LOW,CFG731_78ea99817ca8be6a,CFG731_f1614000023c2800,11,2,2913,1549,24,12,11-50,True,True,CFG731_12089d5d54f581ac,1,10.0,False,True,True,1,1,1.0,binaerDigitalOpenColl_MN,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000044,x731,DERIVED,LOW,CFG731_c52f7eb3e0603707,CFG731_219ac3d01befd6d1,11,3,2913,1549,24,4,11-50,True,True,CFG731_219ac3d01befd6d1,1,3.0,False,True,True,1,1,2.0,stromSchaltbar|customUserFluid,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000045,F731WD_SingleChannel,OBSERVED,OBSERVED,CFG731_70b6eaf9262ca4d0,CFG731_70b6eaf9262ca4d0,11,2,97,10,2,1,2-5,True,True,CFG731_70b6eaf9262ca4d0,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000046,x731,DERIVED,MODERATE,CFG731_5e0166a160f3ed77,CFG731_efc9d6b915117e15,9,4,2913,1549,65,8,51-100,True,True,CFG731_70a71b60723e910d,1,7.0,False,True,True,1,1,2.0,stromEingaenge|customUserFluid,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000047,x731,OBSERVED,OBSERVED,CFG731_8e97bb2bec352a2c,CFG731_8e97bb2bec352a2c,11,4,2913,1549,29,3,11-50,True,True,CFG731_3b2a32abbf148ca1,1,3.0,False,True,True,1,1,2.0,stromEingaenge|temperaturEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000048,G731ST-LT,DERIVED,VERY_STRONG,CFG731_8b6ed3cfa9ed1e59,CFG731_c5da2661a169f82b,9,6,595,153,10,2,6-10,True,True,CFG731_8b6ed3cfa9ed1e59,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000049,x731,DERIVED,VERY_STRONG,CFG731_700e5b0584a9b0fc,CFG731_c7c53fc5541f1dc1,9,4,2913,1549,12,8,11-50,True,True,CFG731_700e5b0584a9b0fc,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000050,F731WD_DualChannel,OBSERVED,OBSERVED,CFG731_37e3938c6089bb2d,CFG731_37e3938c6089bb2d,10,1,121,19,4,2,2-5,True,True,CFG731_819cb4e76943eca6,1,2.0,False,True,True,1,1,2.0,stromSchaltbar|binaerOpenColl_MP,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000051,F731TE,OBSERVED,OBSERVED,CFG731_0c3b33750ffab3ac,CFG731_0c3b33750ffab3ac,10,1,218,30,5,2,2-5,True,True,CFG731_0c3b33750ffab3ac,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000052,x731,DERIVED,VERY_STRONG,CFG731_fa6b5a7df55858c0,CFG731_28ac43a93658ad6b,10,6,2913,1549,31,2,11-50,True,True,CFG731_0db950a4979d2c52,1,2.0,False,True,True,1,1,1.0,stromSchaltbar,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000053,x731,DERIVED,MODERATE,CFG731_1cbb464ec15ba84f,CFG731_b8b11650a048baf7,11,4,2913,1549,3,2,2-5,True,True,CFG731_1cbb464ec15ba84f,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000054,G731CA,DERIVED,VERY_STRONG,CFG731_e85a7fcdd0521e90,CFG731_d97c333965654bd3,10,2,291,48,2,2,2-5,True,True,CFG731_e85a7fcdd0521e90,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000055,F731TE,OBSERVED,OBSERVED,CFG731_07fb816f7dc25bc8,CFG731_07fb816f7dc25bc8,11,2,218,30,1,1,1,True,True,CFG731_07fb816f7dc25bc8,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000056,G731ST-LT,OBSERVED,OBSERVED,CFG731_d5af433b36265df1,CFG731_d5af433b36265df1,9,6,595,153,14,2,11-50,True,True,CFG731_d5af433b36265df1,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000057,x731,DERIVED,MODERATE,CFG731_d61788aab0d61e0f,CFG731_7f60255816247683,9,6,2913,1549,17,4,11-50,True,True,CFG731_2683cf7e09782f5e,1,2.0,False,True,True,1,1,1.0,customUserFluid,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000058,F731WD_SingleChannel,OBSERVED,OBSERVED,CFG731_400b0d973c930668,CFG731_400b0d973c930668,10,1,97,10,2,2,2-5,True,True,CFG731_70b6eaf9262ca4d0,1,2.0,False,True,True,1,1,2.0,stromSchaltbar|binaerOpenColl_MP,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000059,G731VG,OBSERVED,OBSERVED,CFG731_6a47b38d62a9fed3,CFG731_6a47b38d62a9fed3,14,1,49,4,1,1,1,True,True,CFG731_6a47b38d62a9fed3,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000060,x731,DERIVED,VERY_STRONG,CFG731_4e7f75dd9496e7b1,CFG731_04a704e692f8fd05,12,3,2913,1549,11,3,11-50,True,True,CFG731_4e7f75dd9496e7b1,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000061,x731,DERIVED,VERY_STRONG,CFG731_15f034f7c265528f,CFG731_5bb390da70b6fee3,12,3,2913,1549,5,2,2-5,True,True,CFG731_8c50542218db5cb0,1,2.0,False,True,True,1,1,1.0,temperaturEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000062,F731TE,DERIVED,MODERATE,CFG731_090330aa38b8e80b,CFG731_6886c948a9d1ec0c,10,3,218,30,4,1,2-5,True,True,CFG731_090330aa38b8e80b,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000063,x731,DERIVED,MODERATE,CFG731_79377060f99f59f3,CFG731_1fb424bf591da0b3,14,2,2913,1549,4,1,2-5,True,True,CFG731_79377060f99f59f3,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000064,F731PW,DERIVED,VERY_STRONG,CFG731_327bfa077bbbd45e,CFG731_a9f22ebc14287e5d,10,2,121,15,5,1,2-5,True,True,CFG731_327bfa077bbbd45e,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000065,x731,DERIVED,VERY_STRONG,CFG731_f57ccd8e79618aa1,CFG731_afd2371086bf1e03,12,2,2913,1549,13,10,11-50,True,True,CFG731_91e51485b56960b2,1,3.0,False,True,True,1,1,3.0,stromSchaltbar|temperaturEingaenge|binaerDigitalOpenColl_MN,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000066,F731TE,DERIVED,VERY_STRONG,CFG731_a72f99e8160efda6,CFG731_6886c948a9d1ec0c,10,3,218,30,1,1,1,True,True,CFG731_a72f99e8160efda6,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000067,x731,DERIVED,MODERATE,CFG731_31c4aded40f9387f,CFG731_abcee67081353f16,13,3,2913,1549,2,1,2-5,True,True,CFG731_31c4aded40f9387f,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000068,x731,DERIVED,VERY_STRONG,CFG731_04e7216b1ba7f935,CFG731_1f978c234895178c,12,2,2913,1549,11,7,11-50,True,True,CFG731_1f978c234895178c,1,6.0,False,True,True,1,1,2.0,stromSchaltbar|temperaturEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000069,x731,DERIVED,MODERATE,CFG731_95e2d680672ff303,CFG731_f7f0034a8b15f329,6,7,2913,1549,15,2,11-50,True,True,CFG731_95e2d680672ff303,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000070,x731,OBSERVED,OBSERVED,CFG731_5a8170a3daa0efb9,CFG731_5a8170a3daa0efb9,7,7,2913,1549,11,1,11-50,True,True,CFG731_5a8170a3daa0efb9,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000071,G731CA,DERIVED,VERY_STRONG,CFG731_19f7d73d8e42e7bd,CFG731_48d7cdb31a45af93,10,2,291,48,2,2,2-5,True,True,CFG731_19ec976991ce75a9,1,2.0,False,True,True,1,1,2.0,stromSchaltbar|binaerDigitalOpenColl_MN,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000072,x731,DERIVED,VERY_STRONG,CFG731_d9234c84a58b99ae,CFG731_b83ac25dbd4e47ee,11,4,2913,1549,10,1,6-10,True,True,CFG731_d9234c84a58b99ae,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000073,x731,DERIVED,VERY_STRONG,CFG731_1c1fb7a32bf0146b,CFG731_3c119308d8305ad4,12,3,2913,1549,9,3,6-10,True,True,CFG731_31aa13473958d7d3,1,2.0,False,True,True,1,1,2.0,stromEingaenge|temperaturEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000074,G731ST-LT,DERIVED,MODERATE,CFG731_7994662aa688a3b5,CFG731_7203705eed387b0a,13,1,595,153,15,6,11-50,True,True,CFG731_0029021d98da4557,1,4.0,False,True,True,1,1,1.0,binaerDigitalOpenColl_MN,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000075,x731,OBSERVED,OBSERVED,CFG731_fa2849b259355775,CFG731_fa2849b259355775,12,3,2913,1549,5,2,2-5,True,True,CFG731_fa2849b259355775,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000076,F731WD_SingleChannel,OBSERVED,OBSERVED,CFG731_a7d2a5a9ae465701,CFG731_a7d2a5a9ae465701,10,3,97,10,1,1,1,True,True,CFG731_a7d2a5a9ae465701,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000077,x731,DERIVED,MODERATE,CFG731_a385518a9f31baa0,CFG731_509cb555eca833a1,10,5,2913,1549,1,1,1,True,True,CFG731_a385518a9f31baa0,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000078,F731PW,OBSERVED,OBSERVED,CFG731_5995fa9fd5d1242f,CFG731_5995fa9fd5d1242f,11,1,121,15,1,1,1,True,True,CFG731_5995fa9fd5d1242f,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000079,x731,DERIVED,VERY_STRONG,CFG731_6472ab3bf7316498,CFG731_8c8856d21252930e,7,6,2913,1549,17,3,11-50,True,True,CFG731_8c8856d21252930e,1,3.0,False,True,True,1,1,1.0,binaerOpenColl_MP,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000080,x731,DERIVED,VERY_STRONG,CFG731_4fe142d593643ab8,CFG731_04a704e692f8fd05,11,3,2913,1549,6,6,6-10,True,True,CFG731_4fe142d593643ab8,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000081,G731ST-LT,DERIVED,LOW,CFG731_a54fd8962307be18,CFG731_175641fe8d1c7f37,10,3,595,153,24,12,11-50,True,True,CFG731_ae2e4cfccaff4f50,1,,False,True,True,1,1,2.0,stromEingaenge|binaerDigitalOpenColl_MN,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000082,x731,DERIVED,LOW,CFG731_90035585549005ff,CFG731_9b931b5025055c84,9,3,2913,1549,54,14,51-100,True,True,CFG731_226e375c4e7aa2a0,1,7.0,False,True,True,1,1,2.0,stromSchaltbar|dev_advMeterVerification,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000083,F731TE,OBSERVED,OBSERVED,CFG731_574aa7a29f75cd60,CFG731_574aa7a29f75cd60,11,2,218,30,1,1,1,True,True,CFG731_574aa7a29f75cd60,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000084,x731,DERIVED,MODERATE,CFG731_5be5a82ac0b29989,CFG731_f3fed379f1eb01f9,11,2,2913,1549,4,2,2-5,True,True,CFG731_5be5a82ac0b29989,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000085,x731,OBSERVED,OBSERVED,CFG731_0aa987e1ae960c88,CFG731_0aa987e1ae960c88,11,4,2913,1549,8,2,6-10,True,True,CFG731_0aa987e1ae960c88,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000086,G731CA,OBSERVED,OBSERVED,CFG731_d3d0547b464f691d,CFG731_d3d0547b464f691d,9,3,291,48,6,2,6-10,True,True,CFG731_d3d0547b464f691d,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000087,x731,DERIVED,MODERATE,CFG731_6d44172bc82c7ed7,CFG731_775c3458f44938c0,14,1,2913,1549,3,3,2-5,True,True,CFG731_6d44172bc82c7ed7,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000088,G731ST-HT,DERIVED,VERY_STRONG,CFG731_0ce13abf777d04f9,CFG731_a288340143e53b7f,10,5,595,151,23,2,11-50,True,True,CFG731_63eca10a00ae1f5d,1,2.0,False,True,True,1,1,1.0,temperaturEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000089,x731,OBSERVED,OBSERVED,CFG731_4340f11ba9a46e42,CFG731_4340f11ba9a46e42,10,4,2913,1549,9,4,6-10,True,True,CFG731_9fcbeaf9d5010d3a,1,3.0,False,True,True,1,1,1.0,temperaturEingaenge,REQUIREMENT_EQUIVALENT_EXTRA_DIFFERENCES
RFQ731-000090,x731,OBSERVED,OBSERVED,CFG731_260c36430f7c2d03,CFG731_260c36430f7c2d03,12,2,2913,1549,2,1,2-5,True,True,CFG731_260c36430f7c2d03,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000091,G731ST-LT,DERIVED,VERY_STRONG,CFG731_e6c0885eb14e429c,CFG731_175641fe8d1c7f37,10,5,595,153,42,2,11-50,True,True,CFG731_e6c0885eb14e429c,1,1.0,True,True,True,1,1,,,EXACT_MATCH
RFQ731-000092,x731,OBSERVED,OBSERVED,CFG731_a7a446c7f3b3183f,CFG731_a7a446c7f3b3183f,10,3,2913,1549,6,1,6-10,True,True,CFG731_a7a446c7f3b3183f,1,1.0,True,True,True,1,1,,,EXACT_MATCH
