rfq_id,error_type,characteristic,predicted_value,actual_value,evidence_text,confidence
RFQ731-000013,FALSE_NEGATIVE,dynamicGasMaster,NOVALUE,1,,0.0
RFQ731-000013,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000014,WRONG_VALUE,characteristic,TE,GP,"he standard communication interface as a preferred option. where available, we would like temperature measurement capability. we require digital signal input capability. where available, we would like en",0.96
RFQ731-000014,WRONG_VALUE,dataInterface,AS,NN,"solution must provide standard certification documentation. please consider the standard communication interface as a preferred option. where available, we would like temperature measurement capability. we",0.99
RFQ731-000014,FALSE_POSITIVE,binaerOpenColl_MP,MP1,NOVALUE,"red option. where available, we would like temperature measurement capability. we require digital signal input capability. where available, we would like enhanced measurement capability for demanding application",0.8
RFQ731-000014,FALSE_NEGATIVE,explosionApproval,NOVALUE,K,,0.0
RFQ731-000014,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000014,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000014,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000014,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000014,FALSE_NEGATIVE,dev_advMeterVerification,NOVALUE,1,,0.0
RFQ731-000014,FALSE_NEGATIVE,dynamicGasMaster,NOVALUE,1,,0.0
RFQ731-000014,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000015,WRONG_VALUE,devCategory,G,F,"s: the application requires liquid flow measurement. the equipment is required to support general-purpose configuration. we require stainless-steel housing. where available, we would like the standard electric",0.98
RFQ731-000015,FALSE_NEGATIVE,powerSupply,NOVALUE,1,,0.0
RFQ731-000015,FALSE_NEGATIVE,explosionApproval,NOVALUE,K,,0.0
RFQ731-000015,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000015,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000015,FALSE_NEGATIVE,dataInterface,NOVALUE,HS,,0.0
RFQ731-000015,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000015,FALSE_NEGATIVE,binaerOpenColl_MP,NOVALUE,MP1,,0.0
RFQ731-000015,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000015,FALSE_NEGATIVE,dev_advMeterVerification,NOVALUE,1,,0.0
RFQ731-000015,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000016,FALSE_POSITIVE,temperaturEingaenge,TT1,NOVALUE,"e would like an open-collector input capability. if possible, please provide advanced low-temperature measurement capability. we would prefer dynamic gas measurement functionality. we require custom fluid configura",0.98
RFQ731-000016,FALSE_NEGATIVE,powerSupply,NOVALUE,1,,0.0
RFQ731-000016,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000016,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000016,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000016,FALSE_NEGATIVE,binaerOpenColl_MP,NOVALUE,MP1,,0.0
RFQ731-000016,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000016,FALSE_NEGATIVE,dynamicGasMaster,NOVALUE,1,,0.0
RFQ731-000016,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000017,WRONG_VALUE,characteristic,VG,WD,"rovide the required binaeropencoll_mp configuration. if possible, please provide advanced verification functionality. please include pricing, expected delivery lead time, validity of the quota",0.9
RFQ731-000017,WRONG_VALUE,stromSchaltbar,CS1,CS2,lication requires enhanced communication capability. the application requires an enhanced switchable current-output capability. the proposed solution must provide the required binaeropencoll_mp configurati,0.9
RFQ731-000017,FALSE_NEGATIVE,numberOfChannels,NOVALUE,2,,0.0
RFQ731-000017,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000017,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000017,FALSE_NEGATIVE,dataInterface,NOVALUE,HS,,0.0
RFQ731-000017,FALSE_NEGATIVE,binaerOpenColl_MP,NOVALUE,MP4,,0.0
RFQ731-000017,FALSE_NEGATIVE,dev_advMeterVerification,NOVALUE,1,,0.0
RFQ731-000018,WRONG_VALUE,temperaturEingaenge,TT1,TT2,n documentation. we require the required datainterface configuration. we require multiple temperature measurement inputs. the proposed solution must provide advanced meter verification. please include pr,0.96
RFQ731-000018,FALSE_NEGATIVE,numberOfChannels,NOVALUE,2,,0.0
RFQ731-000018,FALSE_NEGATIVE,explosionApproval,NOVALUE,K,,0.0
RFQ731-000018,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000018,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000018,FALSE_NEGATIVE,dataInterface,NOVALUE,PA,,0.0
RFQ731-000019,WRONG_VALUE,devCategory,G,F,on requirements: we require flow measurement for liquid service. the application requires general-purpose configuration. the equipment is required to support stainless-steel housing. the proposed solution must,0.98
RFQ731-000019,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000019,FALSE_NEGATIVE,certification,NOVALUE,MN,,0.0
RFQ731-000019,FALSE_NEGATIVE,dataInterface,NOVALUE,HS,,0.0
RFQ731-000019,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000019,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000020,WRONG_VALUE,dataInterface,AS,NN,"lable, we would like the required measurement certification. please consider the standard communication interface as a preferred option. the equipment is required to support switchable current-output functi",0.99
RFQ731-000020,FALSE_POSITIVE,binaerOpenColl_MP,MP1,NOVALUE,please consider one temperature measurement input as a preferred option. we would prefer digital signal input capability. the proposed solution must provide enhanced measurement capability for demanding applica,0.8
RFQ731-000020,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000020,FALSE_NEGATIVE,certification,NOVALUE,MN,,0.0
RFQ731-000020,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000020,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000020,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000021,WRONG_VALUE,characteristic,TE,ST,equipment is required to support switchable current-output functionality. please consider temperature measurement capability as a preferred option. we require an open-collector input capability. we requi,0.96
RFQ731-000021,FALSE_NEGATIVE,powerSupply,NOVALUE,1,,0.0
RFQ731-000021,FALSE_NEGATIVE,numberOfChannels,NOVALUE,2,,0.0
RFQ731-000021,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000021,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000021,FALSE_NEGATIVE,dataInterface,NOVALUE,HS,,0.0
RFQ731-000021,FALSE_NEGATIVE,binaerOpenColl_MP,NOVALUE,MP1,,0.0
RFQ731-000021,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000021,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000021,FALSE_NEGATIVE,steamApplication,NOVALUE,H,,0.0
RFQ731-000022,WRONG_VALUE,characteristic,TE,ST,"ty. if possible, please provide one current input. the proposed solution must provide one temperature measurement input. we require digital signal input capability. we require advanced verification funct",0.96
RFQ731-000022,FALSE_POSITIVE,binaerOpenColl_MP,MP1,NOVALUE,t input. the proposed solution must provide one temperature measurement input. we require digital signal input capability. we require advanced verification functionality. please consider custom fluid configurati,0.8
RFQ731-000022,FALSE_NEGATIVE,explosionApproval,NOVALUE,K,,0.0
RFQ731-000022,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000022,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000022,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000022,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000022,FALSE_NEGATIVE,dev_advMeterVerification,NOVALUE,1,,0.0
RFQ731-000022,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000022,FALSE_NEGATIVE,steamApplication,NOVALUE,N,,0.0
RFQ731-000023,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000023,FALSE_NEGATIVE,certification,NOVALUE,MN,,0.0
RFQ731-000023,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000023,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000023,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000024,WRONG_VALUE,characteristic,TE,ST,"if possible, please provide switchable current-output functionality. we would prefer one temperature measurement input. if possible, please provide an additional digital signal input. the proposed solut",0.96
RFQ731-000024,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000024,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000024,FALSE_NEGATIVE,dataInterface,NOVALUE,HS,,0.0
RFQ731-000024,FALSE_NEGATIVE,binaerOpenColl_MP,NOVALUE,MP1,,0.0
RFQ731-000024,FALSE_NEGATIVE,dev_advMeterVerification,NOVALUE,1,,0.0
RFQ731-000024,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000024,FALSE_NEGATIVE,steamApplication,NOVALUE,N,,0.0
RFQ731-000025,WRONG_VALUE,characteristic,TE,ST,to support the standard communication interface. the equipment is required to support one temperature measurement input. we would prefer an open-collector input capability. the proposed solution must pro,0.96
RFQ731-000025,FALSE_NEGATIVE,numberOfChannels,NOVALUE,2,,0.0
RFQ731-000025,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000025,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000025,FALSE_NEGATIVE,binaerOpenColl_MP,NOVALUE,MP1,,0.0
RFQ731-000025,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000025,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000025,FALSE_NEGATIVE,steamApplication,NOVALUE,H,,0.0
RFQ731-000026,WRONG_VALUE,characteristic,TE,GP,"prefer digital signal input capability. the equipment is required to support advanced low-temperature measurement capability. where available, we would like advanced meter verification. the equipment is",0.96
RFQ731-000026,FALSE_POSITIVE,temperaturEingaenge,TT1,NOVALUE,"prefer digital signal input capability. the equipment is required to support advanced low-temperature measurement capability. where available, we would like advanced meter verification. the equipment is required to",0.98
RFQ731-000026,FALSE_POSITIVE,binaerOpenColl_MP,MP1,NOVALUE,bility. the application requires switchable current-output functionality. we would prefer digital signal input capability. the equipment is required to support advanced low-temperature measurement capability. wh,0.8
RFQ731-000026,FALSE_NEGATIVE,housing,NOVALUE,ST,,0.0
RFQ731-000026,FALSE_NEGATIVE,explosionApproval,NOVALUE,F,,0.0
RFQ731-000026,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000026,FALSE_NEGATIVE,certification,NOVALUE,MN,,0.0
RFQ731-000026,FALSE_NEGATIVE,dataInterface,NOVALUE,HS,,0.0
RFQ731-000026,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000026,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000026,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000027,WRONG_VALUE,characteristic,TE,GP,"ostic access. we require a switchable current-output capability. the application requires temperature measurement capability. where available, we would like an additional digital signal input. please con",0.96
RFQ731-000027,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000027,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000027,FALSE_NEGATIVE,dataInterface,NOVALUE,NN,,0.0
RFQ731-000027,FALSE_NEGATIVE,binaerOpenColl_MP,NOVALUE,MP1,,0.0
RFQ731-000027,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000027,FALSE_NEGATIVE,dynamicGasMaster,NOVALUE,1,,0.0
RFQ731-000027,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000028,WRONG_VALUE,characteristic,TE,ST,quipment is required to support one current input. the proposed solution must provide one temperature measurement input. the application requires an additional digital signal input. the proposed solution,0.96
RFQ731-000028,FALSE_NEGATIVE,powerSupply,NOVALUE,1,,0.0
RFQ731-000028,FALSE_NEGATIVE,numberOfChannels,NOVALUE,2,,0.0
RFQ731-000028,FALSE_NEGATIVE,explosionApproval,NOVALUE,A,,0.0
RFQ731-000028,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000028,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000028,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000028,FALSE_NEGATIVE,binaerOpenColl_MP,NOVALUE,MP1,,0.0
RFQ731-000028,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000028,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000028,FALSE_NEGATIVE,steamApplication,NOVALUE,H,,0.0
RFQ731-000029,FALSE_POSITIVE,binaerOpenColl_MP,MP1,NOVALUE,"annel. where available, we would like temperature measurement capability. please consider digital signal input capability as a preferred option. we would prefer enhanced measurement capability for demanding appl",0.8
RFQ731-000029,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000029,FALSE_NEGATIVE,certification,NOVALUE,MN,,0.0
RFQ731-000029,FALSE_NEGATIVE,stromEingaenge,NOVALUE,IS1,,0.0
RFQ731-000029,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000029,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000029,FALSE_NEGATIVE,dev_advMeterVerification,NOVALUE,1,,0.0
RFQ731-000029,FALSE_NEGATIVE,dynamicGasMaster,NOVALUE,1,,0.0
RFQ731-000029,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000030,WRONG_VALUE,characteristic,TE,ST,"cation capability. we require a switchable current-output capability. please consider one temperature measurement input as a preferred option. if possible, please provide advanced low-temperature measure",0.96
RFQ731-000030,FALSE_NEGATIVE,powerSupply,NOVALUE,1,,0.0
RFQ731-000030,FALSE_NEGATIVE,numberOfChannels,NOVALUE,2,,0.0
RFQ731-000030,FALSE_NEGATIVE,protectionArea,NOVALUE,N,,0.0
RFQ731-000030,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000030,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000030,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000030,FALSE_NEGATIVE,steamApplication,NOVALUE,H,,0.0
RFQ731-000031,WRONG_VALUE,devCategory,G,F,"of our plant modernisation project, we require a suitable measurement system for process gas measurement. please provide a quotation based on the following technical and application requirements",0.98
RFQ731-000031,FALSE_NEGATIVE,housing,NOVALUE,ST,,0.0
RFQ731-000031,FALSE_NEGATIVE,explosionApproval,NOVALUE,K,,0.0
RFQ731-000031,FALSE_NEGATIVE,protectionArea,NOVALUE,2,,0.0
RFQ731-000031,FALSE_NEGATIVE,certification,NOVALUE,NN,,0.0
RFQ731-000031,FALSE_NEGATIVE,dataInterface,NOVALUE,NN,,0.0
RFQ731-000031,FALSE_NEGATIVE,binaerDigitalOpenColl_MN,NOVALUE,MN1,,0.0
RFQ731-000031,FALSE_NEGATIVE,waveInjector,NOVALUE,FWI,,0.0
RFQ731-000031,FALSE_NEGATIVE,customUserFluid,NOVALUE,1,,0.0
RFQ731-000032,WRONG_VALUE,devCategory,G,F,requirements: the application requires liquid flow measurement. the application requires general-purpose configuration. we would prefer stainless-steel housing. the application requires the standard electrica,0.98
