rfq_id,characteristic,value_status,reason,confidence,source_sentence
RFQ731-000119,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: dynamic automation systems ag rfq reference: rfq731-000119 customer reference: utility measurement upgrade country: netherlands as part of our utility measurement upgrade, we require a suitable measurement system for process water measurement. please provide a quotation based on the following technical and application requirements: the application requires gas measurement. the equipment is required to support standard-temperature service. the proposed solution must pro"
RFQ731-000120,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: nexon process engineering gmbh rfq reference: rfq731-000120 customer reference: new plant installation country: spain our team is planning an upgrade involving pipeline monitoring. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the application requires gas metering application. the application requires standard-temperature service. the equipment is requi"
RFQ731-000130,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: delta process systems s.a. rfq reference: rfq731-000130 customer reference: new production line country: germany we are requesting a quotation for equipment suitable for process water measurement as part of an upcoming new production line. please provide a quotation based on the following technical and application requirements: where available, we would like gas measurement. the equipment is required to support standard-temperature service. the proposed solution must p"
RFQ731-000131,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: precision process automation b.v. rfq reference: rfq731-000131 customer reference: metering system replacement country: spain we are currently working on our metering system replacement and are looking for a suitable measurement solution for clean utility measurement. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas metering application. the application requires standard-temperature service"
RFQ731-000133,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: delta industrial services fze rfq reference: rfq731-000133 customer reference: process automation project country: saudi arabia our team is planning an upgrade involving process water measurement. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas metering application. the equipment is required to support standard tem"
RFQ731-000140,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: sterling process engineering gmbh rfq reference: rfq731-000140 customer reference: measurement system upgrade country: netherlands as part of our measurement system upgrade, we require a suitable measurement system for chemical process measurement. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas measurement. please consider standard-temperature service as a preferred option. the applicatio"
RFQ731-000141,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: apex process engineering ltd. rfq reference: rfq731-000141 customer reference: process expansion project country: germany our team is planning an upgrade involving pipeline monitoring. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas metering application. the equipment is required to support standard-temperature ser"
RFQ731-000155,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: vector measurement technologies gmbh rfq reference: rfq731-000155 customer reference: utility measurement upgrade country: türkiye we are requesting a quotation for equipment suitable for production measurement as part of an upcoming utility measurement upgrade. please provide a quotation based on the following technical and application requirements: we require gas metering application. the application requires standard temperature application. we would prefer stainles"
RFQ731-000163,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: nova petrochemical solutions ltd. rfq reference: rfq731-000163 customer reference: plant modernisation project country: united kingdom our team is planning an upgrade involving plant utility measurement. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas metering application. we require standard temperature applicatio"
RFQ731-000165,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: quantum industrial technologies b.v. rfq reference: rfq731-000165 customer reference: measurement system upgrade country: france we are requesting a quotation for equipment suitable for production utility monitoring as part of an upcoming measurement system upgrade. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas metering application. where available, we would like standard temperature app"
RFQ731-000169,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: advanced industrial services b.v. rfq reference: rfq731-000169 customer reference: process expansion project country: saudi arabia our team is planning an upgrade involving utility water measurement. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the application requires gas measurement. the proposed solution must provide standard temperature application"
RFQ731-000173,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: delta automation systems ag rfq reference: rfq731-000173 customer reference: new plant installation country: türkiye we are currently working on our new plant installation and are looking for a suitable measurement solution for production process monitoring. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. the proposed solution must provide standard-temperature service. the i"
RFQ731-000175,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: dynamic automation systems ag rfq reference: rfq731-000175 customer reference: measurement infrastructure upgrade country: netherlands we are requesting a quotation for equipment suitable for controlled process measurement as part of an upcoming measurement infrastructure upgrade. please provide a quotation based on the following technical and application requirements: we require gas metering application. the equipment is required to support standard-temperature servic"
RFQ731-000176,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: delta industrial services fze rfq reference: rfq731-000176 customer reference: metering system replacement country: saudi arabia we are currently working on our metering system replacement and are looking for a suitable measurement solution for food production. please provide a quotation based on the following technical and application requirements: the application requires gas measurement. the equipment is required to support standard-temperature service. where availa"
RFQ731-000180,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: precision engineering solutions ag rfq reference: rfq731-000180 customer reference: process instrumentation upgrade country: türkiye as part of our process instrumentation upgrade, we require a suitable measurement system for controlled process measurement. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. the application requires standard temperature application. if possible,"
RFQ731-000193,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: quantum petrochemical solutions fze rfq reference: rfq731-000193 customer reference: metering system replacement country: netherlands we are currently working on our metering system replacement and are looking for a suitable measurement solution for process gas measurement. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas metering application. please consider standard-temperature service as"
RFQ731-000199,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: vector process automation s.a. rfq reference: rfq731-000199 customer reference: process instrumentation upgrade country: türkiye as part of our process instrumentation upgrade, we require a suitable measurement system for pilot plant measurement. please provide a quotation based on the following technical and application requirements: the application requires gas measurement. the equipment is required to support standard-temperature service. the installation environmen"
RFQ731-000203,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: continental industrial services ag rfq reference: rfq731-000203 customer reference: process instrumentation upgrade country: france our team is planning an upgrade involving plant utility monitoring. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the application requires gas measurement. we require standard-temperature service. we require stainless-steel"
RFQ731-000223,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: summit instrumentation fze rfq reference: rfq731-000223 customer reference: plant modernisation project country: france as part of our plant modernisation project, we require a suitable measurement system for metallurgical process monitoring. please provide a quotation based on the following technical and application requirements: we require gas measurement. we require standard temperature application. the installation environment requires a robust industrial enclosure"
RFQ731-000228,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: integrated energy systems fze rfq reference: rfq731-000228 customer reference: measurement infrastructure upgrade country: france we are currently working on our measurement infrastructure upgrade and are looking for a suitable measurement solution for process monitoring. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. we require standard temperature application. the equipme"
RFQ731-000229,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: continental process automation gmbh rfq reference: rfq731-000229 customer reference: measurement infrastructure upgrade country: germany our team is planning an upgrade involving utility water measurement. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: we require gas measurement. we require standard-temperature service. please consider stainless-steel ho"
RFQ731-000232,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: horizon instrumentation s.a. rfq reference: rfq731-000232 customer reference: process expansion project country: türkiye we are currently working on our process expansion project and are looking for a suitable measurement solution for utility measurement. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas measurement. we require standard-temperature service. where available, we would like sta"
RFQ731-000235,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: metrix petrochemical solutions s.a. rfq reference: rfq731-000235 customer reference: new plant installation country: india our team is planning an upgrade involving plant utility measurement. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas metering application. the equipment is required to support standard temperat"
RFQ731-000239,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: global instrumentation s.a. rfq reference: rfq731-000239 customer reference: process instrumentation upgrade country: united kingdom as part of our process instrumentation upgrade, we require a suitable measurement system for power plant process monitoring. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas metering application. the equipment is required to support standard temperature appl"
RFQ731-000240,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: vertex engineering solutions fze rfq reference: rfq731-000240 customer reference: process automation project country: italy as part of our process automation project, we require a suitable measurement system for plant utility measurement. please provide a quotation based on the following technical and application requirements: the application requires gas metering application. the application requires standard-temperature service. we require stainless-steel enclosure. "
RFQ731-000246,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: industrial engineering solutions b.v. rfq reference: rfq731-000246 customer reference: measurement system upgrade country: türkiye we are currently working on our measurement system upgrade and are looking for a suitable measurement solution for pilot plant measurement. please provide a quotation based on the following technical and application requirements: we require gas measurement. the application requires standard temperature application. where available, we would"
RFQ731-000247,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: precision process systems gmbh rfq reference: rfq731-000247 customer reference: new plant installation country: türkiye we are requesting a quotation for equipment suitable for process automation as part of an upcoming new plant installation. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas metering application. if possible, please provide standard temperature application. the application r"
RFQ731-000256,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: industrial industrial services ag rfq reference: rfq731-000256 customer reference: measurement system upgrade country: spain we are currently working on our measurement system upgrade and are looking for a suitable measurement solution for batch process monitoring. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. the application requires standard temperature application. we r"
RFQ731-000258,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: apex process automation gmbh rfq reference: rfq731-000258 customer reference: new plant installation country: germany our team is planning an upgrade involving pipeline monitoring. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas metering application. we require standard temperature application. the application requir"
RFQ731-000263,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: industrial engineering solutions b.v. rfq reference: rfq731-000263 customer reference: process expansion project country: türkiye our team is planning an upgrade involving pilot plant measurement. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas metering application. we require standard-temperature service. the inst"
RFQ731-000265,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: meridian automation systems fze rfq reference: rfq731-000265 customer reference: new plant installation country: germany as part of our new plant installation, we require a suitable measurement system for process gas measurement. please provide a quotation based on the following technical and application requirements: the application requires gas metering application. the equipment is required to support standard temperature application. the equipment is required to su"
RFQ731-000276,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: vector automation systems ltd. rfq reference: rfq731-000276 customer reference: metering system replacement country: france our team is planning an upgrade involving production process monitoring. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. we require standard-temperature service. the installation "
RFQ731-000280,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: integrated energy systems gmbh rfq reference: rfq731-000280 customer reference: utility measurement upgrade country: france we are currently working on our utility measurement upgrade and are looking for a suitable measurement solution for gas processing. please provide a quotation based on the following technical and application requirements: the application requires gas measurement. the application requires standard-temperature service. the equipment is required to s"
RFQ731-000283,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: apex manufacturing technologies s.a. rfq reference: rfq731-000283 customer reference: plant modernisation project country: germany as part of our plant modernisation project, we require a suitable measurement system for production measurement. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas metering application. the application requires standard temperature application. the installation en"
RFQ731-000286,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: meridian process automation s.a. rfq reference: rfq731-000286 customer reference: metering system replacement country: türkiye we are requesting a quotation for equipment suitable for clean utility measurement as part of an upcoming metering system replacement. please provide a quotation based on the following technical and application requirements: the application requires gas measurement. the application requires standard temperature application. the installation env"
RFQ731-000288,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: global instrumentation s.a. rfq reference: rfq731-000288 customer reference: measurement system upgrade country: united kingdom we are requesting a quotation for equipment suitable for power plant process monitoring as part of an upcoming measurement system upgrade. please provide a quotation based on the following technical and application requirements: where available, we would like gas measurement. we require standard-temperature service. the application requires st"
RFQ731-000299,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: delta measurement technologies ag rfq reference: rfq731-000299 customer reference: plant modernisation project country: türkiye we are currently working on our plant modernisation project and are looking for a suitable measurement solution for production process monitoring. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas metering application. the proposed solution must provide standard-tem"
RFQ731-000300,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: united industrial services gmbh rfq reference: rfq731-000300 customer reference: measurement system upgrade country: germany as part of our measurement system upgrade, we require a suitable measurement system for pipeline monitoring. please provide a quotation based on the following technical and application requirements: we require gas measurement. the proposed solution must provide standard temperature application. the proposed solution must provide stainless-steel e"
RFQ731-000304,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: industrial energy systems ltd. rfq reference: rfq731-000304 customer reference: plant modernisation project country: italy as part of our plant modernisation project, we require a suitable measurement system for pharmaceutical process monitoring. please provide a quotation based on the following technical and application requirements: we require gas measurement. the equipment is required to support standard temperature application. we require stainless-steel enclosure."
RFQ731-000306,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: global measurement technologies ag rfq reference: rfq731-000306 customer reference: measurement infrastructure upgrade country: france we are currently working on our measurement infrastructure upgrade and are looking for a suitable measurement solution for process gas measurement. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. the equipment is required to support standard-"
RFQ731-000308,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: vertex process automation s.a. rfq reference: rfq731-000308 customer reference: process expansion project country: italy our team is planning an upgrade involving chemical process measurement. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the application requires gas measurement. the application requires standard temperature application. the application"
RFQ731-000309,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: industrial industrial services fze rfq reference: rfq731-000309 customer reference: new plant installation country: germany as part of our new plant installation, we require a suitable measurement system for research process monitoring. please provide a quotation based on the following technical and application requirements: we require gas measurement. the equipment is required to support standard-temperature service. we require stainless-steel enclosure. where availab"
RFQ731-000310,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: horizon petrochemical solutions gmbh rfq reference: rfq731-000310 customer reference: process automation project country: germany we are currently working on our process automation project and are looking for a suitable measurement solution for energy infrastructure. please provide a quotation based on the following technical and application requirements: the application requires gas metering application. the equipment is required to support standard-temperature servic"
RFQ731-000313,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: evergreen process engineering ag rfq reference: rfq731-000313 customer reference: plant modernisation project country: spain as part of our plant modernisation project, we require a suitable measurement system for laboratory process system. please provide a quotation based on the following technical and application requirements: we require gas metering application. the equipment is required to support standard temperature application. we require stainless-steel enclosu"
RFQ731-000317,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: quantum petrochemical solutions fze rfq reference: rfq731-000317 customer reference: process expansion project country: netherlands we are currently working on our process expansion project and are looking for a suitable measurement solution for hydrocarbon process measurement. please provide a quotation based on the following technical and application requirements: the application requires gas metering application. the equipment is required to support standard-tempera"
RFQ731-000320,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: vertex process engineering ag rfq reference: rfq731-000320 customer reference: measurement system upgrade country: netherlands our team is planning an upgrade involving chemical process measurement. we would like to receive a quotation for a suitable measurement solution. please provide a quotation based on the following technical and application requirements: the equipment is required to support gas measurement. we require standard temperature application. we would pr"
RFQ731-000324,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: delta process engineering gmbh rfq reference: rfq731-000324 customer reference: process instrumentation upgrade country: spain we are currently working on our process instrumentation upgrade and are looking for a suitable measurement solution for gas processing. please provide a quotation based on the following technical and application requirements: the proposed solution must provide gas measurement. the equipment is required to support standard temperature applicatio"
RFQ731-000326,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: vector engineering solutions ag rfq reference: rfq731-000326 customer reference: measurement infrastructure upgrade country: united kingdom we are currently working on our measurement infrastructure upgrade and are looking for a suitable measurement solution for wastewater processing. please provide a quotation based on the following technical and application requirements: we require gas metering application. the equipment is required to support standard temperature ap"
RFQ731-000330,steamApplication,UNRESOLVED,VALUE_NOT_IDENTIFIABLE,1.0,"dear sales team, customer: global engineering solutions b.v. rfq reference: rfq731-000330 customer reference: utility measurement upgrade country: india as part of our utility measurement upgrade, we require a suitable measurement system for production process monitoring. please provide a quotation based on the following technical and application requirements: please consider gas metering application as a preferred option. we require standard temperature application. where available, we would li"
