rfq_id,canonical_configuration_id,ml_split,ml_target,record_type,generation_method,evidence_level,source_frequency,nearest_real_distance,num_changed_characteristics,evidence_score,mandatory_total,mandatory_satisfied,mandatory_violations,preferred_total,preferred_satisfied,preferred_differences,unmentioned_features,mandatory_valid,mandatory_preferred_valid,source_frequency_score,real_proximity_score,low_change_score,observed_configuration_score,evidence_score_normalized,rfq_ground_truth_record_type,rfq_ground_truth_evidence_level,rfq_ground_truth_nearest_real_distance,rfq_requirement_count,rfq_mandatory_requirement_count,rfq_preferred_requirement_count,rfq_unique_required_characteristics,config_devCategory,config_characteristic,config_housing,config_powerSupply,config_numberOfChannels,config_explosionApproval,config_protectionArea,config_certification,config_dataInterface,config_stromSchaltbar,config_stromEingaenge,config_temperaturEingaenge,config_binaerDigitalOpenColl_MN,config_binaerOpenColl_MP,config_waveInjector,config_dev_advMeterVerification,config_dynamicGasMaster,config_customUserFluid,config_steamApplication
RFQ731-000006,CFG731_8c429238b2628537,TRAIN,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,12,12,0,2,2,0,5,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,DERIVED,VERY_STRONG,1,14,12,2,14,G,GP,ST,1,1,K,2,NN,NN,NOVALUE,IS1,TT1,NOVALUE,MP1,FWI,1,1,1,NOVALUE
RFQ731-000006,CFG731_42c4381af5ae3412,TRAIN,0,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,64.4,12,12,0,2,2,0,5,True,True,0.0,0.5,0.0,0.0,0.3455882352941177,DERIVED,VERY_STRONG,1,14,12,2,14,G,GP,ST,1,1,K,2,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,1,1,NOVALUE
RFQ731-000006,CFG731_d4dafb658c85c692,TRAIN,0,DERIVED,TWO_CHARACTERISTIC,LOW,0,2,2,54.2,12,12,0,2,2,0,5,True,True,0.0,0.0,0.0,0.0,0.1580882352941176,DERIVED,VERY_STRONG,1,14,12,2,14,G,GP,ST,1,1,K,2,NN,NN,NOVALUE,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,1,1,NOVALUE
RFQ731-000006,CFG731_6638f62366414007,TRAIN,0,DERIVED,TWO_CHARACTERISTIC,LOW,0,2,2,51.8,12,12,0,2,2,0,5,True,True,0.0,0.0,0.0,0.0,0.113970588235294,DERIVED,VERY_STRONG,1,14,12,2,14,G,GP,ST,1,1,K,2,NN,NN,CS1,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,1,1,NOVALUE
RFQ731-000007,CFG731_c887ba58c35036a9,VALIDATION,1,OBSERVED,REAL_OBSERVED,OBSERVED,7,0,0,100.0,9,9,0,4,4,0,6,True,True,1.0,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,13,9,4,13,F,GP,ST,4,1,N,N,MN,NN,CS1,IS1,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000007,CFG731_de67d4c164ed05bc,VALIDATION,0,OBSERVED,REAL_OBSERVED,OBSERVED,4,0,0,100.0,9,9,0,4,4,0,6,True,True,0.5714285714285714,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,13,9,4,13,F,GP,ST,4,1,N,N,MN,NN,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000007,CFG731_5feb84333ab424ba,VALIDATION,0,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,9,9,0,4,4,0,6,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,13,9,4,13,F,GP,ST,4,1,N,N,MN,NN,NOVALUE,IS1,NOVALUE,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000007,CFG731_404424158a3493ae,VALIDATION,0,OBSERVED,REAL_OBSERVED,OBSERVED,1,0,0,100.0,9,9,0,4,4,0,6,True,True,0.1428571428571428,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,13,9,4,13,F,GP,ST,4,1,N,N,MN,NN,CS1,NOVALUE,NOVALUE,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000007,CFG731_bfee42801e80594e,VALIDATION,0,DERIVED,ONE_CHARACTERISTIC,VERY_STRONG,0,1,1,94.2,9,9,0,4,4,0,6,True,True,0.0,0.5,0.5,0.0,0.8933823529411765,DERIVED,VERY_STRONG,1,13,9,4,13,F,GP,ST,4,1,N,N,MN,NN,NOVALUE,NOVALUE,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000007,CFG731_a59cc7e57b856164,VALIDATION,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,9,9,0,4,4,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,DERIVED,VERY_STRONG,1,13,9,4,13,F,GP,ST,4,1,N,N,MN,NN,CS1,IS1,NOVALUE,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000007,CFG731_1d78950cabc90332,VALIDATION,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,9,9,0,4,4,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,DERIVED,VERY_STRONG,1,13,9,4,13,F,GP,ST,4,1,N,N,MN,NN,NOVALUE,IS1,TT1,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000007,CFG731_134ecd7b8190bed1,VALIDATION,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,9,9,0,4,4,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,DERIVED,VERY_STRONG,1,13,9,4,13,F,GP,ST,4,1,N,N,MN,NN,NOVALUE,NOVALUE,NOVALUE,MN1,NOVALUE,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000008,CFG731_329b582435fea539,TRAIN,1,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,10,10,0,4,4,0,5,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,14,10,4,14,G,ST,ST,1,2,F,2,NN,HS,CS1,IS1,TT1,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,1,H
RFQ731-000008,CFG731_d03860c1f327a8d1,TRAIN,0,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,10,10,0,4,4,0,5,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,14,10,4,14,G,ST,ST,1,2,F,2,NN,HS,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,1,H
RFQ731-000008,CFG731_b5710e5f11e2cbc2,TRAIN,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,96.5,10,10,0,4,4,0,5,True,True,0.0,0.5,0.0,0.0,0.9356617647058824,DERIVED,VERY_STRONG,1,14,10,4,14,G,ST,ST,1,2,F,2,NN,HS,CS1,NOVALUE,NOVALUE,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,1,H
RFQ731-000008,CFG731_3f42c988dc83cb23,TRAIN,0,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,61.2,10,10,0,4,4,0,5,True,True,0.0,0.5,0.0,0.0,0.286764705882353,DERIVED,VERY_STRONG,1,14,10,4,14,G,ST,ST,1,2,F,2,NN,HS,CS1,IS1,NOVALUE,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,1,H
RFQ731-000009,CFG731_a56f1437a0b4ca31,TRAIN,1,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,10,10,0,5,5,0,4,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,OBSERVED,OBSERVED,0,15,10,5,15,G,ST,ST,1,2,K,2,NN,HS,CS1,IS1,TT1,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,1,H
RFQ731-000009,CFG731_646d8903da63e1f0,TRAIN,0,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,10,10,0,5,5,0,4,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,OBSERVED,OBSERVED,0,15,10,5,15,G,ST,ST,1,2,K,2,NN,HS,CS1,NOVALUE,TT1,MN1,NOVALUE,FWI,NOVALUE,NOVALUE,1,H
RFQ731-000010,CFG731_a40ab19ad6671fbe,TRAIN,1,OBSERVED,REAL_OBSERVED,OBSERVED,7,0,0,100.0,8,8,0,5,5,0,6,True,True,1.0,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,13,8,5,13,G,ST,ST,1,1,K,2,NN,NN,CS1,IS1,TT1,MN1,NOVALUE,NOVALUE,1,NOVALUE,1,N
RFQ731-000010,CFG731_098817d766a37bc2,TRAIN,0,OBSERVED,REAL_OBSERVED,OBSERVED,4,0,0,100.0,8,8,0,5,5,0,6,True,True,0.5714285714285714,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,13,8,5,13,G,ST,ST,1,1,K,2,NN,NN,CS1,NOVALUE,TT1,MN1,NOVALUE,NOVALUE,1,NOVALUE,1,N
RFQ731-000010,CFG731_d3944f427f0609b6,TRAIN,0,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,8,8,0,5,5,0,6,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,13,8,5,13,G,ST,ST,1,1,K,2,NN,NN,NOVALUE,IS1,NOVALUE,MN1,NOVALUE,NOVALUE,1,NOVALUE,1,N
RFQ731-000010,CFG731_cc64ce3eaedacb17,TRAIN,0,OBSERVED,REAL_OBSERVED,OBSERVED,1,0,0,100.0,8,8,0,5,5,0,6,True,True,0.1428571428571428,1.0,1.0,1.0,1.0,DERIVED,VERY_STRONG,1,13,8,5,13,G,ST,ST,1,1,K,2,NN,NN,CS1,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,1,NOVALUE,1,N
RFQ731-000010,CFG731_e1516ef53069d5e2,TRAIN,0,DERIVED,ONE_CHARACTERISTIC,VERY_STRONG,0,1,1,94.2,8,8,0,5,5,0,6,True,True,0.0,0.5,0.5,0.0,0.8933823529411765,DERIVED,VERY_STRONG,1,13,8,5,13,G,ST,ST,1,1,K,2,NN,NN,NOVALUE,NOVALUE,TT1,MN1,NOVALUE,NOVALUE,1,NOVALUE,1,N
RFQ731-000010,CFG731_87d8ba5b87cf0a3f,TRAIN,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,8,8,0,5,5,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,DERIVED,VERY_STRONG,1,13,8,5,13,G,ST,ST,1,1,K,2,NN,NN,NOVALUE,IS1,TT1,MN1,NOVALUE,NOVALUE,1,NOVALUE,1,N
RFQ731-000010,CFG731_9e44a82e6c1db982,TRAIN,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,8,8,0,5,5,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,DERIVED,VERY_STRONG,1,13,8,5,13,G,ST,ST,1,1,K,2,NN,NN,NOVALUE,NOVALUE,NOVALUE,MN1,NOVALUE,NOVALUE,1,NOVALUE,1,N
RFQ731-000010,CFG731_bc9146cb8459e9c2,TRAIN,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,8,8,0,5,5,0,6,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,DERIVED,VERY_STRONG,1,13,8,5,13,G,ST,ST,1,1,K,2,NN,NN,CS1,IS1,NOVALUE,MN1,NOVALUE,NOVALUE,1,NOVALUE,1,N
RFQ731-000011,CFG731_8b18ac1c34209d63,TEST,1,OBSERVED,REAL_OBSERVED,OBSERVED,7,0,0,100.0,13,13,0,1,1,0,5,True,True,1.0,1.0,1.0,1.0,1.0,OBSERVED,OBSERVED,0,14,13,1,14,G,ST,ST,1,2,A,2,NN,NN,CS1,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,H
RFQ731-000011,CFG731_cd71ec2726e971ef,TEST,0,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,13,13,0,1,1,0,5,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,OBSERVED,OBSERVED,0,14,13,1,14,G,ST,ST,1,2,A,2,NN,NN,NOVALUE,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,H
RFQ731-000011,CFG731_ef8d68b6d278bfec,TEST,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,13,13,0,1,1,0,5,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,OBSERVED,OBSERVED,0,14,13,1,14,G,ST,ST,1,2,A,2,NN,NN,NOVALUE,IS1,TT1,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,H
RFQ731-000011,CFG731_708466e4f37148f0,TEST,0,DERIVED,DEPENDENCY_TWO_CHARACTERISTIC,VERY_STRONG,0,1,2,98.2,13,13,0,1,1,0,5,True,True,0.0,0.5,0.0,0.0,0.9669117647058824,OBSERVED,OBSERVED,0,14,13,1,14,G,ST,ST,1,2,A,2,NN,NN,CS1,IS1,NOVALUE,NOVALUE,MP1,FWI,NOVALUE,NOVALUE,1,H
RFQ731-000012,CFG731_6e27958dc8215006,TRAIN,1,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,65.8,11,11,0,5,5,0,3,True,True,0.0,0.5,0.0,0.0,0.3713235294117646,DERIVED,MODERATE,1,16,11,5,16,F,GP,ST,4,1,A,2,NN,HS,CS1,IS1,TT1,NOVALUE,MP1,FWI,1,NOVALUE,1,NOVALUE
RFQ731-000013,CFG731_e80085d86d0bbfa9,TRAIN,1,OBSERVED,REAL_OBSERVED,OBSERVED,2,0,0,100.0,10,10,0,5,5,0,4,True,True,0.2857142857142857,1.0,1.0,1.0,1.0,DERIVED,MODERATE,1,15,10,5,15,G,GP,ST,1,1,A,2,NN,HS,CS1,IS1,TT1,MN1,NOVALUE,FWI,1,1,1,NOVALUE
RFQ731-000013,CFG731_b86fda83f997f894,TRAIN,0,OBSERVED,REAL_OBSERVED,OBSERVED,1,0,0,100.0,10,10,0,5,5,0,4,True,True,0.1428571428571428,1.0,1.0,1.0,1.0,DERIVED,MODERATE,1,15,10,5,15,G,GP,ST,1,1,A,2,NN,HS,NOVALUE,IS1,TT1,MN1,NOVALUE,FWI,1,1,1,NOVALUE
RFQ731-000013,CFG731_6526112621a9ee97,TRAIN,0,DERIVED,TWO_CHARACTERISTIC,MODERATE,0,1,2,69.2,10,10,0,5,5,0,4,True,True,0.0,0.5,0.0,0.0,0.4338235294117647,DERIVED,MODERATE,1,15,10,5,15,G,GP,ST,1,1,A,2,NN,HS,NOVALUE,IS1,TT1,MN1,NOVALUE,FWI,NOVALUE,1,1,NOVALUE
